2025-05-23 23:36:23 - tcp - 发送方: ('192.168.180.205', 48552) - 接收方: ('192.168.180.183', 8000)
2025-05-24 14:23:16 - tcp - 发送方: ('10.21.163.147', 40972) - 接收方: ('10.21.88.183', 8000) - 数据: 22222
2025-05-24 14:23:16 - tcp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.163.147', 40972) - 数据: 回显: 22222
2025-05-24 14:51:29 - tcp - 发送方: ('10.21.163.147', 8000) - 接收方: ('10.21.88.183', 52314) - 数据: 我是手机
2025-05-24 14:51:51 - tcp - 发送方: ('10.21.88.183', 52314) - 接收方: ('10.21.163.147', 8000) - 数据: 我是电脑
2025-05-24 14:51:58 - tcp - 发送方: ('10.21.88.183', 52314) - 接收方: ('10.21.163.147', 8000) - 数据: ok
2025-05-24 14:52:05 - tcp - 发送方: ('10.21.163.147', 8000) - 接收方: ('10.21.88.183', 52314) - 数据: yes
2025-05-24 14:52:29 - tcp - 发送方: ('10.21.88.183', 52314) - 接收方: ('10.21.163.147', 8000) - 数据: 我是电脑
2025-05-24 14:52:35 - tcp - 发送方: ('10.21.163.147', 8000) - 接收方: ('10.21.88.183', 52314) - 数据: 我是手机
2025-05-24 14:54:01 - tcp - 发送方: ('10.21.88.183', 52314) - 接收方: ('10.21.163.147', 8000) - 数据: 我是电脑
2025-05-24 14:55:27 - udp - 发送方: ('0.0.0.0', 63002) - 接收方: ('10.21.163.147', 8000) - 数据: 我是电脑
2025-05-24 14:58:20 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 我是手机
2025-05-24 14:58:43 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿嘿
2025-05-24 14:58:49 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖
2025-05-24 14:58:51 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:52 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:53 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:53 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:53 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:53 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:53 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:54 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:54 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:54 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:54 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:54 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:55 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:55 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 15:00:43 - tcp - 发送方: ('10.21.163.147', 8000) - 接收方: ('10.21.88.183', 52384) - 数据: hi
2025-05-24 15:00:50 - tcp - 发送方: ('10.21.163.147', 8000) - 接收方: ('10.21.88.183', 52384) - 数据: 我是手机
2025-05-24 15:00:56 - tcp - 发送方: ('10.21.88.183', 52384) - 接收方: ('10.21.163.147', 8000) - 数据: 我是电脑
2025-05-24 15:02:04 - tcp - 发送方: ('10.21.163.147', 39998) - 接收方: ('10.21.88.183', 8000) - 数据: 我是手机
2025-05-24 15:02:11 - tcp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.163.147', 39998) - 数据: [服务器] 我是电脑
2025-05-24 15:10:14 - udp - 发送方: ('10.21.163.147', 37643) - 接收方: ('10.21.88.183', 8000) - 数据: udp我是手机客户端
2025-05-24 15:10:39 - udp - 发送方: ('10.21.163.147', 37643) - 接收方: ('10.21.88.183', 8000) - 数据: udp服务器无法向客户端发送消息
2025-05-24 15:12:06 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: udp电脑
2025-05-24 15:12:50 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: udp电脑 
2025-05-24 15:12:57 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: 
2025-05-24 15:13:01 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: 
2025-05-24 15:13:01 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: 
2025-05-24 15:13:06 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: 
2025-05-24 15:13:08 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: 、
2025-05-24 15:13:12 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: 偶遇ii
2025-05-24 15:13:51 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: udp手机服务器无法发送消息
2025-05-24 15:21:00 - udp - 发送方: ('10.21.163.147', 47266) - 接收方: ('10.21.88.183', 8000) - 数据: 我是手机
2025-05-24 15:21:15 - udp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.163.147', 47266) - 数据: [服务器] 我是电脑
2025-05-24 15:21:22 - udp - 发送方: ('10.21.163.147', 47266) - 接收方: ('10.21.88.183', 8000) - 数据: 我是手机
2025-05-24 15:21:29 - udp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.163.147', 47266) - 数据: [服务器] 10.21.88.183
2025-05-24 15:23:04 - udp - 发送方: ('0.0.0.0', 55470) - 接收方: ('10.21.163.147', 8000) - 数据: 我是电脑
2025-05-24 15:23:20 - udp - 发送方: ('0.0.0.0', 55470) - 接收方: ('10.21.163.147', 8000) - 数据: 我是电脑
2025-05-24 15:23:20 - udp - 发送方: ('10.21.163.147', 8000) - 接收方: ('0.0.0.0', 55470) - 数据: 我是手机
2025-05-24 15:23:49 - udp - 发送方: ('0.0.0.0', 55470) - 接收方: ('10.21.163.147', 8000) - 数据: 我是电脑
2025-05-24 15:23:49 - udp - 发送方: ('10.21.163.147', 8000) - 接收方: ('0.0.0.0', 55470) - 数据: 手机网！
2025-05-24 15:23:52 - udp - 发送方: ('0.0.0.0', 55470) - 接收方: ('10.21.163.147', 8000) - 数据: 看就看
2025-05-24 15:23:52 - udp - 发送方: ('10.21.163.147', 8000) - 接收方: ('0.0.0.0', 55470) - 数据: 123
2025-05-24 15:23:54 - udp - 发送方: ('0.0.0.0', 55470) - 接收方: ('10.21.163.147', 8000) - 数据: 离开家了就
2025-05-24 15:38:33 - tcp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.163.147', 46724) - 数据: [服务器] 我是电脑tcp服务器
2025-05-24 15:38:41 - tcp - 发送方: ('10.21.163.147', 46724) - 接收方: ('10.21.88.183', 8000) - 数据: 我是手机tcp客户端
2025-05-24 15:40:03 - tcp - 发送方: ('10.21.163.147', 8000) - 接收方: ('10.21.88.183', 52822) - 数据: 我是手机tcp服务器
2025-05-24 15:40:11 - tcp - 发送方: ('10.21.88.183', 52822) - 接收方: ('10.21.163.147', 8000) - 数据: 我是电脑tcp客户端
2025-05-24 15:40:55 - udp - 发送方: ('10.21.163.147', 47266) - 接收方: ('10.21.88.183', 8000) - 数据: 我是电脑udp客户端
2025-05-24 15:41:12 - udp - 发送方: ('10.21.163.147', 47266) - 接收方: ('10.21.88.183', 8000) - 数据: 我是udp客户端手机
2025-05-24 15:41:23 - udp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.163.147', 47266) - 数据: [服务器] 我是电脑我是udp服务端电脑
2025-05-24 15:42:22 - udp - 发送方: ('0.0.0.0', 59574) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:42:48 - udp - 发送方: ('0.0.0.0', 59574) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:42:51 - udp - 发送方: ('0.0.0.0', 59574) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:45:57 - udp - 发送方: ('0.0.0.0', 57192) - 接收方: ('10.21.88.183', 8000) - 数据: hi 
2025-05-24 15:46:44 - udp - 发送方: ('0.0.0.0', 58278) - 接收方: ('10.21.163.147', 8000) - 数据: 我是电脑
2025-05-24 15:47:00 - udp - 发送方: ('0.0.0.0', 58278) - 接收方: ('10.21.163.147', 8000) - 数据: 我是电脑udp客户端
2025-05-24 15:51:37 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:42 - udp - 发送方: ('10.21.163.147', 8000) - 接收方: ('0.0.0.0', 53651) - 数据: 我是udp服务端手机
2025-05-24 15:51:45 - udp - 发送方: ('10.21.163.147', 8000) - 接收方: ('0.0.0.0', 53651) - 数据: 我是udp服务端手机
2025-05-24 15:51:45 - udp - 发送方: ('10.21.163.147', 8000) - 接收方: ('0.0.0.0', 53651) - 数据: 我是udp服务端手机
2025-05-24 15:51:46 - udp - 发送方: ('10.21.163.147', 8000) - 接收方: ('0.0.0.0', 53651) - 数据: 我是udp服务端手机
2025-05-24 15:51:46 - udp - 发送方: ('10.21.163.147', 8000) - 接收方: ('0.0.0.0', 53651) - 数据: 我是udp服务端手机
2025-05-24 15:51:46 - udp - 发送方: ('10.21.163.147', 8000) - 接收方: ('0.0.0.0', 53651) - 数据: 我是udp服务端手机
2025-05-24 15:51:50 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:52 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:53 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:54 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 
2025-05-24 15:51:54 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:54 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:54 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:55 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:55 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:55 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:55 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:55 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:56 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:56 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:56 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 15:51:57 - udp - 发送方: ('0.0.0.0', 53651) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp客户端电脑
2025-05-24 16:26:43 - tcp - 发送方: ('10.21.163.147', 47264) - 接收方: ('10.21.88.183', 8000) - 数据: 我是手机tcp客户端
2025-05-24 16:27:14 - tcp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.163.147', 47264) - 数据: 我是电脑tcp服务端
2025-05-24 16:29:27 - tcp - 发送方: ('10.21.163.147', 45896) - 接收方: ('10.21.88.183', 8000) - 数据: 我是手机tcp客户端
2025-05-24 16:47:12 - tcp - 发送方: ('10.21.163.147', 49418) - 接收方: ('10.21.88.183', 8000) - 数据: 我是手机tcp客户端
2025-05-24 16:49:41 - tcp - 发送方: ('10.21.163.147', 45984) - 接收方: ('10.21.88.183', 8000) - 数据: 我是手机tcp客户端洗超级习近平
2025-05-24 16:50:08 - tcp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.163.147', 45984) - 数据: 我是tcp服务端超级超级超级点啊弄
2025-05-24 16:55:49 - tcp - 发送方: ('10.21.163.147', 38290) - 接收方: ('10.21.88.183', 8000) - 数据: 我是手机tcp客户端洗超级习近平
2025-05-24 16:56:04 - tcp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.163.147', 38290) - 数据: 我是电脑服务端tcp
